[2019/9/12 8:39:15 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 8:41:27 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 8:41:27 , Normal] -> 设置轴向归零参数 
 [2019/9/12 8:41:28 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 8:41:28 , Normal] -> 水平轴向归零成功 
 [2019/9/12 8:41:28 , Normal] -> 所有坐标清零成功 
 [2019/9/12 8:41:56 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 8:41:56 , Normal] -> 设置轴向归零参数 
 [2019/9/12 8:41:57 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 8:41:58 , Normal] -> 水平轴向归零成功 
 [2019/9/12 8:41:58 , Normal] -> 所有坐标清零成功 
 [2019/9/12 8:42:06 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 8:42:06 , Normal] -> 设置轴向归零参数 
 [2019/9/12 8:42:07 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 8:42:07 , Normal] -> 水平轴向归零成功 
 [2019/9/12 8:42:07 , Normal] -> 所有坐标清零成功 
 [2019/9/12 8:48:26 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 8:48:26 , Normal] -> 设置轴向归零参数 
 [2019/9/12 8:48:26 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 8:48:27 , Normal] -> 水平轴向归零成功 
 [2019/9/12 8:48:27 , Normal] -> 所有坐标清零成功 
 [2019/9/12 8:48:55 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 8:48:55 , Normal] -> 设置轴向归零参数 
 [2019/9/12 8:48:55 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 8:49:01 , Normal] -> 水平轴向归零成功 
 [2019/9/12 8:49:01 , Normal] -> 所有坐标清零成功 
 [2019/9/12 9:06:33 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 9:06:33 , Normal] -> 设置轴向归零参数 
 [2019/9/12 9:06:34 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 9:06:39 , Normal] -> 水平轴向归零成功 
 [2019/9/12 9:06:39 , Normal] -> 所有坐标清零成功 
 [2019/9/12 11:09:48 , Normal] -> 设备初始化失败！内容Device_Link_LTSMC.LSTMCException: 错误信息:错误Cannot_be_connected : 无法连接
, 错误编码:8 , 错误函数:LinkDevice, 错误轴向:总控制
   在 Device_Link_LTSMC.Device_Net_LSTMC.CallBack(String optionFunction, Int16[] erroCodes)
   在 Device_Link_LTSMC.Device_Net_LSTMC.LinkDevice()
   在 ControlDec.ConDevice.Link(Dictionary`2 infos) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 186 
 [2019/9/12 11:10:21 , Normal] -> 设备初始化失败！内容Device_Link_LTSMC.LSTMCException: 错误信息:错误Cannot_be_connected : 无法连接
, 错误编码:8 , 错误函数:LinkDevice, 错误轴向:总控制
   在 Device_Link_LTSMC.Device_Net_LSTMC.CallBack(String optionFunction, Int16[] erroCodes)
   在 Device_Link_LTSMC.Device_Net_LSTMC.LinkDevice()
   在 ControlDec.ConDevice.Link(Dictionary`2 infos) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 186 
 [2019/9/12 11:10:54 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 11:10:54 , Normal] -> 设置轴向归零参数 
 [2019/9/12 11:10:55 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 11:10:57 , Normal] -> 水平轴向归零成功 
 [2019/9/12 11:10:57 , Normal] -> 所有坐标清零成功 
 [2019/9/12 11:11:45 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 11:11:45 , Normal] -> 设置轴向归零参数 
 [2019/9/12 11:11:45 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 11:11:46 , Normal] -> 水平轴向归零成功 
 [2019/9/12 11:11:46 , Normal] -> 所有坐标清零成功 
 [2019/9/12 11:12:24 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 11:12:24 , Normal] -> 设置轴向归零参数 
 [2019/9/12 11:12:25 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 11:12:31 , Normal] -> 水平轴向归零成功 
 [2019/9/12 11:12:31 , Normal] -> 所有坐标清零成功 
 [2019/9/12 11:13:05 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 11:13:05 , Normal] -> 设置轴向归零参数 
 [2019/9/12 11:13:06 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 11:13:11 , Normal] -> 水平轴向归零成功 
 [2019/9/12 11:13:11 , Normal] -> 所有坐标清零成功 
 [2019/9/12 11:18:12 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 11:18:12 , Normal] -> 设置轴向归零参数 
 [2019/9/12 11:18:13 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 11:18:19 , Normal] -> 水平轴向归零成功 
 [2019/9/12 11:18:19 , Normal] -> 所有坐标清零成功 
 [2019/9/12 11:19:42 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 11:19:42 , Normal] -> 设置轴向归零参数 
 [2019/9/12 11:19:42 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 11:19:48 , Normal] -> 水平轴向归零成功 
 [2019/9/12 11:19:48 , Normal] -> 所有坐标清零成功 
 [2019/9/12 13:14:04 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 13:14:05 , Normal] -> 设置轴向归零参数 
 [2019/9/12 13:14:05 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 13:14:11 , Normal] -> 水平轴向归零成功 
 [2019/9/12 13:14:11 , Normal] -> 所有坐标清零成功 
 [2019/9/12 13:21:12 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 13:21:12 , Normal] -> 设置轴向归零参数 
 [2019/9/12 13:21:13 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 13:21:19 , Normal] -> 水平轴向归零成功 
 [2019/9/12 13:21:19 , Normal] -> 所有坐标清零成功 
 [2019/9/12 13:21:44 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 13:21:44 , Normal] -> 设置轴向归零参数 
 [2019/9/12 13:21:44 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 13:21:50 , Normal] -> 水平轴向归零成功 
 [2019/9/12 13:21:50 , Normal] -> 所有坐标清零成功 
 [2019/9/12 13:23:22 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 13:23:22 , Normal] -> 设置轴向归零参数 
 [2019/9/12 13:23:23 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 13:23:28 , Normal] -> 水平轴向归零成功 
 [2019/9/12 13:23:28 , Normal] -> 所有坐标清零成功 
 [2019/9/12 13:26:54 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 13:26:54 , Normal] -> 设置轴向归零参数 
 [2019/9/12 13:26:55 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 13:27:01 , Normal] -> 水平轴向归零成功 
 [2019/9/12 13:27:01 , Normal] -> 所有坐标清零成功 
 [2019/9/12 13:36:05 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 13:36:05 , Normal] -> 设置轴向归零参数 
 [2019/9/12 13:36:06 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 13:36:11 , Normal] -> 水平轴向归零成功 
 [2019/9/12 13:36:11 , Normal] -> 所有坐标清零成功 
 [2019/9/12 13:36:37 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 13:36:37 , Normal] -> 设置轴向归零参数 
 [2019/9/12 13:36:38 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 13:36:43 , Normal] -> 水平轴向归零成功 
 [2019/9/12 13:36:43 , Normal] -> 所有坐标清零成功 
 [2019/9/12 13:36:57 , Waring] -> 读取坐标信息异常 
 [2019/9/12 13:36:57 , Erro] -> System.InvalidOperationException: 在创建窗口句柄之前，不能在控件上调用 Invoke 或 BeginInvoke。
   在 System.Windows.Forms.Control.MarshaledInvoke(Control caller, Delegate method, Object[] args, Boolean synchronous)
   在 System.Windows.Forms.Control.BeginInvoke(Delegate method, Object[] args)
   在 RZ_AutoGemaControl.GameConsole.<>c__DisplayClass25_0.<GetCoordinates>b__0() 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\RZ-AutoGemaControl\GameConsole.cs:行号 144 
 [2019/9/12 13:36:57 , Waring] -> 读取坐标信息异常 
 [2019/9/12 13:37:04 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 13:37:04 , Normal] -> 设置轴向归零参数 
 [2019/9/12 13:37:04 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 13:37:09 , Normal] -> 水平轴向归零成功 
 [2019/9/12 13:37:09 , Normal] -> 所有坐标清零成功 
 [2019/9/12 13:37:24 , Waring] -> 读取坐标信息异常 
 [2019/9/12 13:37:24 , Erro] -> System.InvalidOperationException: 在创建窗口句柄之前，不能在控件上调用 Invoke 或 BeginInvoke。
   在 System.Windows.Forms.Control.MarshaledInvoke(Control caller, Delegate method, Object[] args, Boolean synchronous)
   在 System.Windows.Forms.Control.BeginInvoke(Delegate method, Object[] args)
   在 RZ_AutoGemaControl.GameConsole.<>c__DisplayClass25_0.<GetCoordinates>b__0() 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\RZ-AutoGemaControl\GameConsole.cs:行号 144 
 [2019/9/12 13:37:41 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 13:37:41 , Normal] -> 设置轴向归零参数 
 [2019/9/12 13:37:41 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 13:37:46 , Normal] -> 水平轴向归零成功 
 [2019/9/12 13:37:46 , Normal] -> 所有坐标清零成功 
 [2019/9/12 13:38:16 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 13:38:16 , Normal] -> 设置轴向归零参数 
 [2019/9/12 13:38:17 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 13:38:23 , Normal] -> 水平轴向归零成功 
 [2019/9/12 13:38:23 , Normal] -> 所有坐标清零成功 
 [2019/9/12 13:39:22 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 13:39:22 , Normal] -> 设置轴向归零参数 
 [2019/9/12 13:39:23 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 13:39:29 , Normal] -> 水平轴向归零成功 
 [2019/9/12 13:39:29 , Normal] -> 所有坐标清零成功 
 [2019/9/12 13:41:37 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 13:41:37 , Normal] -> 设置轴向归零参数 
 [2019/9/12 13:41:37 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 13:41:37 , Normal] -> 水平轴向归零成功 
 [2019/9/12 13:41:37 , Normal] -> 所有坐标清零成功 
 [2019/9/12 13:42:53 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 13:42:53 , Normal] -> 设置轴向归零参数 
 [2019/9/12 13:42:54 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 13:42:57 , Normal] -> 水平轴向归零成功 
 [2019/9/12 13:42:57 , Normal] -> 所有坐标清零成功 
 [2019/9/12 13:55:48 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 13:55:48 , Normal] -> 设置轴向归零参数 
 [2019/9/12 13:55:48 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 13:55:51 , Normal] -> 水平轴向归零成功 
 [2019/9/12 13:55:51 , Normal] -> 所有坐标清零成功 
 [2019/9/12 13:55:54 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 13:55:54 , Normal] -> 设置轴向归零参数 
 [2019/9/12 13:55:54 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 13:55:55 , Normal] -> 水平轴向归零成功 
 [2019/9/12 13:55:55 , Normal] -> 所有坐标清零成功 
 [2019/9/12 13:56:10 , Waring] -> 读取坐标信息异常 
 [2019/9/12 13:56:10 , Waring] -> 读取坐标信息异常 
 [2019/9/12 13:56:11 , Erro] -> System.InvalidOperationException: 在创建窗口句柄之前，不能在控件上调用 Invoke 或 BeginInvoke。
   在 System.Windows.Forms.Control.MarshaledInvoke(Control caller, Delegate method, Object[] args, Boolean synchronous)
   在 System.Windows.Forms.Control.BeginInvoke(Delegate method, Object[] args)
   在 RZ_AutoGemaControl.GameConsole.<>c__DisplayClass25_0.<GetCoordinates>b__0() 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\RZ-AutoGemaControl\GameConsole.cs:行号 144 
 [2019/9/12 13:56:11 , Erro] -> System.ComponentModel.Win32Exception (0x80004005): 创建窗口句柄时出错。
   在 System.Windows.Forms.NativeWindow.CreateHandle(CreateParams cp)
   在 System.Windows.Forms.Control.CreateHandle()
   在 System.Windows.Forms.TextBoxBase.CreateHandle()
   在 System.Windows.Forms.Control.get_Handle()
   在 System.Windows.Forms.Control.MarshaledInvoke(Control caller, Delegate method, Object[] args, Boolean synchronous)
   在 System.Windows.Forms.Control.BeginInvoke(Delegate method, Object[] args)
   在 RZ_AutoGemaControl.GameConsole.<>c__DisplayClass25_0.<GetCoordinates>b__0() 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\RZ-AutoGemaControl\GameConsole.cs:行号 147 
 [2019/9/12 13:56:11 , Waring] -> 读取坐标信息异常 
 [2019/9/12 13:56:16 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 13:56:16 , Normal] -> 设置轴向归零参数 
 [2019/9/12 13:56:17 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 13:56:22 , Normal] -> 水平轴向归零成功 
 [2019/9/12 13:56:22 , Normal] -> 所有坐标清零成功 
 [2019/9/12 14:01:00 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 14:01:00 , Normal] -> 设置轴向归零参数 
 [2019/9/12 14:01:00 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 14:01:01 , Normal] -> 水平轴向归零成功 
 [2019/9/12 14:01:01 , Normal] -> 所有坐标清零成功 
 [2019/9/12 14:19:18 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 14:19:18 , Normal] -> 设置轴向归零参数 
 [2019/9/12 14:19:19 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 14:19:25 , Normal] -> 水平轴向归零成功 
 [2019/9/12 14:19:25 , Normal] -> 所有坐标清零成功 
 [2019/9/12 14:27:12 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 14:27:12 , Normal] -> 设置轴向归零参数 
 [2019/9/12 14:27:12 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 14:27:18 , Normal] -> 水平轴向归零成功 
 [2019/9/12 14:27:18 , Normal] -> 所有坐标清零成功 
 [2019/9/12 14:29:09 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 14:29:09 , Normal] -> 设置轴向归零参数 
 [2019/9/12 14:29:09 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 14:29:15 , Normal] -> 水平轴向归零成功 
 [2019/9/12 14:29:15 , Normal] -> 所有坐标清零成功 
 [2019/9/12 14:30:14 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 14:30:14 , Normal] -> 设置轴向归零参数 
 [2019/9/12 14:30:15 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 14:30:21 , Normal] -> 水平轴向归零成功 
 [2019/9/12 14:30:21 , Normal] -> 所有坐标清零成功 
 [2019/9/12 14:31:58 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 14:31:58 , Normal] -> 设置轴向归零参数 
 [2019/9/12 14:31:59 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 14:32:05 , Normal] -> 水平轴向归零成功 
 [2019/9/12 14:32:05 , Normal] -> 所有坐标清零成功 
 [2019/9/12 14:34:02 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 14:34:02 , Normal] -> 设置轴向归零参数 
 [2019/9/12 14:34:02 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 14:34:08 , Normal] -> 水平轴向归零成功 
 [2019/9/12 14:34:08 , Normal] -> 所有坐标清零成功 
 [2019/9/12 14:36:43 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 14:36:43 , Normal] -> 设置轴向归零参数 
 [2019/9/12 14:36:44 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 14:36:50 , Normal] -> 水平轴向归零成功 
 [2019/9/12 14:36:50 , Normal] -> 所有坐标清零成功 
 [2019/9/12 14:38:40 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 14:38:40 , Normal] -> 设置轴向归零参数 
 [2019/9/12 14:38:40 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 14:38:46 , Normal] -> 水平轴向归零成功 
 [2019/9/12 14:38:46 , Normal] -> 所有坐标清零成功 
 [2019/9/12 14:40:06 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 14:40:06 , Normal] -> 设置轴向归零参数 
 [2019/9/12 14:40:07 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 14:40:13 , Normal] -> 水平轴向归零成功 
 [2019/9/12 14:40:13 , Normal] -> 所有坐标清零成功 
 [2019/9/12 14:41:00 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 14:41:00 , Normal] -> 设置轴向归零参数 
 [2019/9/12 14:41:01 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 14:41:07 , Normal] -> 水平轴向归零成功 
 [2019/9/12 14:41:07 , Normal] -> 所有坐标清零成功 
 [2019/9/12 14:43:40 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 14:43:40 , Normal] -> 设置轴向归零参数 
 [2019/9/12 14:43:40 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 14:43:46 , Normal] -> 水平轴向归零成功 
 [2019/9/12 14:43:46 , Normal] -> 所有坐标清零成功 
 [2019/9/12 14:44:47 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 14:44:47 , Normal] -> 设置轴向归零参数 
 [2019/9/12 14:44:48 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 14:44:54 , Normal] -> 水平轴向归零成功 
 [2019/9/12 14:44:54 , Normal] -> 所有坐标清零成功 
 [2019/9/12 14:46:36 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 14:46:36 , Normal] -> 设置轴向归零参数 
 [2019/9/12 14:46:36 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 14:46:42 , Normal] -> 水平轴向归零成功 
 [2019/9/12 14:46:42 , Normal] -> 所有坐标清零成功 
 [2019/9/12 14:50:15 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 14:50:15 , Normal] -> 设置轴向归零参数 
 [2019/9/12 14:50:16 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 14:50:22 , Normal] -> 水平轴向归零成功 
 [2019/9/12 14:50:22 , Normal] -> 所有坐标清零成功 
 [2019/9/12 14:58:59 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 14:58:59 , Normal] -> 设置轴向归零参数 
 [2019/9/12 14:59:00 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 14:59:06 , Normal] -> 水平轴向归零成功 
 [2019/9/12 14:59:06 , Normal] -> 所有坐标清零成功 
 [2019/9/12 15:03:04 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 15:03:04 , Normal] -> 设置轴向归零参数 
 [2019/9/12 15:03:05 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 15:03:11 , Normal] -> 水平轴向归零成功 
 [2019/9/12 15:03:11 , Normal] -> 所有坐标清零成功 
 [2019/9/12 15:06:44 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 15:06:44 , Normal] -> 设置轴向归零参数 
 [2019/9/12 15:06:44 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 15:06:50 , Normal] -> 水平轴向归零成功 
 [2019/9/12 15:06:50 , Normal] -> 所有坐标清零成功 
 [2019/9/12 15:13:17 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 15:13:17 , Normal] -> 设置轴向归零参数 
 [2019/9/12 15:13:18 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 15:13:23 , Normal] -> 水平轴向归零成功 
 [2019/9/12 15:13:23 , Normal] -> 所有坐标清零成功 
 [2019/9/12 15:14:43 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 15:14:43 , Normal] -> 设置轴向归零参数 
 [2019/9/12 15:14:43 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 15:14:50 , Normal] -> 水平轴向归零成功 
 [2019/9/12 15:14:50 , Normal] -> 所有坐标清零成功 
 [2019/9/12 15:14:52 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 15:14:52 , Normal] -> 设置轴向归零参数 
 [2019/9/12 15:14:52 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 15:14:52 , Normal] -> 水平轴向归零成功 
 [2019/9/12 15:14:52 , Normal] -> 所有坐标清零成功 
 [2019/9/12 15:15:29 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 15:15:29 , Normal] -> 设置轴向归零参数 
 [2019/9/12 15:15:30 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 15:15:36 , Normal] -> 水平轴向归零成功 
 [2019/9/12 15:15:36 , Normal] -> 所有坐标清零成功 
 [2019/9/12 15:39:23 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 15:39:23 , Normal] -> 设置轴向归零参数 
 [2019/9/12 15:39:23 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 15:39:26 , Normal] -> 水平轴向归零成功 
 [2019/9/12 15:39:26 , Normal] -> 所有坐标清零成功 
 [2019/9/12 15:40:27 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 15:40:27 , Normal] -> 设置轴向归零参数 
 [2019/9/12 15:40:27 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 15:40:33 , Normal] -> 水平轴向归零成功 
 [2019/9/12 15:40:33 , Normal] -> 所有坐标清零成功 
 [2019/9/12 15:41:37 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 15:41:37 , Normal] -> 设置轴向归零参数 
 [2019/9/12 15:41:38 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 15:41:43 , Normal] -> 水平轴向归零成功 
 [2019/9/12 15:41:43 , Normal] -> 所有坐标清零成功 
 [2019/9/12 15:43:33 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 15:43:33 , Normal] -> 设置轴向归零参数 
 [2019/9/12 15:43:34 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 15:43:39 , Normal] -> 水平轴向归零成功 
 [2019/9/12 15:43:39 , Normal] -> 所有坐标清零成功 
 [2019/9/12 15:49:26 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 15:49:26 , Normal] -> 设置轴向归零参数 
 [2019/9/12 15:49:26 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 15:49:32 , Normal] -> 水平轴向归零成功 
 [2019/9/12 15:49:32 , Normal] -> 所有坐标清零成功 
 [2019/9/12 15:51:04 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 15:51:04 , Normal] -> 设置轴向归零参数 
 [2019/9/12 15:51:05 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 15:51:11 , Normal] -> 水平轴向归零成功 
 [2019/9/12 15:51:11 , Normal] -> 所有坐标清零成功 
 [2019/9/12 15:52:35 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 15:52:35 , Normal] -> 设置轴向归零参数 
 [2019/9/12 15:52:35 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 15:52:41 , Normal] -> 水平轴向归零成功 
