[2019/9/11 9:42:10 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:23:23 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 14:23:28 , Normal] -> 水平轴向归零成功 
 [2019/9/11 14:23:28 , Normal] -> 所有坐标清零成功 
 [2019/9/11 14:24:09 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:24:09 , Normal] -> 设置轴向归零参数 
 [2019/9/11 14:24:09 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 14:24:15 , Normal] -> 水平轴向归零成功 
 [2019/9/11 14:24:15 , Normal] -> 所有坐标清零成功 
 [2019/9/11 14:25:56 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:25:56 , Normal] -> 设置轴向归零参数 
 [2019/9/11 14:25:57 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 14:26:03 , Normal] -> 水平轴向归零成功 
 [2019/9/11 14:26:03 , Normal] -> 所有坐标清零成功 
 [2019/9/11 14:27:03 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:27:03 , Normal] -> 设置轴向归零参数 
 [2019/9/11 14:27:04 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 14:27:15 , Normal] -> 水平轴向归零成功 
 [2019/9/11 14:27:15 , Normal] -> 所有坐标清零成功 
 [2019/9/11 14:35:44 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:35:44 , Normal] -> 设置轴向归零参数 
 [2019/9/11 14:35:46 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 14:35:56 , Normal] -> 水平轴向归零成功 
 [2019/9/11 14:35:56 , Normal] -> 所有坐标清零成功 
 [2019/9/11 14:36:36 , Normal] -> 设备初始化失败！内容Device_Link_LTSMC.LSTMCException: 错误信息:错误Cannot_be_connected : 无法连接
, 错误编码:8 , 错误函数:LinkDevice, 错误轴向:总控制
   在 Device_Link_LTSMC.Device_Net_LSTMC.CallBack(String optionFunction, Int16[] erroCodes)
   在 Device_Link_LTSMC.Device_Net_LSTMC.LinkDevice()
   在 ControlDec.ConDevice.Link(Dictionary`2 infos) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 185 
 [2019/9/11 14:36:44 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:36:44 , Normal] -> 设置轴向归零参数 
 [2019/9/11 14:36:47 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 14:36:57 , Normal] -> 水平轴向归零成功 
 [2019/9/11 14:36:57 , Normal] -> 所有坐标清零成功 
 [2019/9/11 14:44:09 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:44:09 , Normal] -> 设置轴向归零参数 
 [2019/9/11 14:44:11 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 14:44:22 , Normal] -> 水平轴向归零成功 
 [2019/9/11 14:44:22 , Normal] -> 所有坐标清零成功 
 [2019/9/11 14:46:17 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:46:17 , Normal] -> 设置轴向归零参数 
 [2019/9/11 14:46:19 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 14:46:30 , Normal] -> 水平轴向归零成功 
 [2019/9/11 14:46:30 , Normal] -> 所有坐标清零成功 
 [2019/9/11 14:47:15 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:47:15 , Normal] -> 设置轴向归零参数 
 [2019/9/11 14:47:16 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 14:47:27 , Normal] -> 水平轴向归零成功 
 [2019/9/11 14:47:27 , Normal] -> 所有坐标清零成功 
 [2019/9/11 14:48:01 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:48:01 , Normal] -> 设置轴向归零参数 
 [2019/9/11 14:48:03 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 14:48:15 , Normal] -> 水平轴向归零成功 
 [2019/9/11 14:48:15 , Normal] -> 所有坐标清零成功 
 [2019/9/11 14:49:59 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:49:59 , Normal] -> 设置轴向归零参数 
 [2019/9/11 14:50:02 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 14:50:15 , Normal] -> 水平轴向归零成功 
 [2019/9/11 14:50:15 , Normal] -> 设备初始化失败！内容Device_Link_LTSMC.LSTMCException: W正在执行上一次的任务，请先关闭或结束前一次的任务!
   在 Device_Link_LTSMC.LTSMC_Axis.CheckAxis()
   在 Device_Link_LTSMC.LTSMC_Axis.PositionZeroClear()
   在 Device_Link_LTSMC.Device_Net_LSTMC.AllToClearPositionZero()
   在 ControlDec.ConDevice.AllToZero() 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 52
   在 ControlDec.ConDevice.Link(Dictionary`2 infos) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 195 
 [2019/9/11 14:53:26 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:53:26 , Normal] -> 设置轴向归零参数 
 [2019/9/11 14:53:26 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 14:53:26 , Normal] -> 水平轴向归零成功 
 [2019/9/11 14:53:26 , Normal] -> 所有坐标清零成功 
 [2019/9/11 14:54:36 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:54:36 , Normal] -> 设置轴向归零参数 
 [2019/9/11 14:54:38 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 14:54:50 , Normal] -> 水平轴向归零成功 
 [2019/9/11 14:54:50 , Normal] -> 所有坐标清零成功 
 [2019/9/11 15:11:34 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 15:11:34 , Normal] -> 设置轴向归零参数 
 [2019/9/11 15:11:36 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 15:11:48 , Normal] -> 水平轴向归零成功 
 [2019/9/11 15:11:48 , Normal] -> 所有坐标清零成功 
 [2019/9/11 15:13:32 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 15:13:32 , Normal] -> 设置轴向归零参数 
 [2019/9/11 15:13:35 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 15:13:46 , Normal] -> 水平轴向归零成功 
 [2019/9/11 15:13:46 , Normal] -> 所有坐标清零成功 
 [2019/9/11 15:16:04 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 15:16:04 , Normal] -> 设置轴向归零参数 
 [2019/9/11 15:16:05 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 15:16:16 , Normal] -> 水平轴向归零成功 
 [2019/9/11 15:16:16 , Normal] -> 所有坐标清零成功 
 [2019/9/11 15:17:43 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 15:17:43 , Normal] -> 设置轴向归零参数 
 [2019/9/11 15:17:44 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 15:17:55 , Normal] -> 水平轴向归零成功 
 [2019/9/11 15:17:55 , Normal] -> 所有坐标清零成功 
 [2019/9/11 15:24:28 , Waring] -> 读取坐标信息异常 
 [2019/9/11 15:24:28 , Erro] -> System.ComponentModel.Win32Exception (0x80004005): 创建窗口句柄时出错。
   在 System.Windows.Forms.NativeWindow.CreateHandle(CreateParams cp)
   在 System.Windows.Forms.Control.CreateHandle()
   在 System.Windows.Forms.Control.get_Handle()
   在 System.Windows.Forms.Control.MarshaledInvoke(Control caller, Delegate method, Object[] args, Boolean synchronous)
   在 System.Windows.Forms.Control.BeginInvoke(Delegate method, Object[] args)
   在 RZ_AutoGemaControl.GameConsole.<>c__DisplayClass25_0.<GetCoordinates>b__0() 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\RZ-AutoGemaControl\GameConsole.cs:行号 144 
 [2019/9/11 15:59:39 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 15:59:39 , Normal] -> 设置轴向归零参数 
 [2019/9/11 15:59:39 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 15:59:45 , Normal] -> 水平轴向归零成功 
 [2019/9/11 15:59:45 , Normal] -> 所有坐标清零成功 
 [2019/9/11 16:01:47 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 16:01:47 , Normal] -> 设置轴向归零参数 
 [2019/9/11 16:01:47 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 16:01:48 , Normal] -> 水平轴向归零成功 
 [2019/9/11 16:01:48 , Normal] -> 所有坐标清零成功 
 
